"";"chave";"ano";"sigla";"dsc_tribunal";"secao";"dpjio";"tram";"cp";"tbaix";"mag";"serv";"tc";"ips";"ipm";"dpjio_tbaix";"eff";"target.tbaix"
"89";"TRF1_MA_2014";2014;"TRF1";"TRF 1ª Região";"MA";107540513,41;271903;168290;95714;34;445;0,647984759270769;215,087640449438;2815,11764705882;1123,56095670435;1;95714
"90";"TRF1_PI_2014";2014;"TRF1";"TRF 1ª Região";"PI";82576796,99;206343;149453;62679;27;351;0,696238786874282;178,57264957265;2321,44444444444;1317,45555911868;0,854657906020624;73338,1152370543
"91";"TRF1_2º Grau_2014";2014;"TRF1";"TRF 1ª Região";"2º Grau";431336542,76;592940;519788;73152;26;314;0,876628326643505;232,968152866242;2813,53846153846;5896,44224026684;1;73152
"92";"TRF1_total_2014";2014;"TRF1";"TRF 1ª Região";"total";2286293652;4137139;3138991;998148;558;8409;0,758734719814829;118,699964323939;1788,79569892473;2290,53572416115;0,652414088429877;1529930,17425816
"93";"TRF2_RJ_2014";2014;"TRF2";"TRF 2ª Região";"RJ";770125444,42;1107780;776326;363477;181;3017;0,671887017277799;120,47630096122;2008,16022099448;2118,77352465218;0,616869897137471;589227,974467034
"94";"TRF2_ES_2014";2014;"TRF2";"TRF 2ª Região";"ES";151582755,16;215060;157884;58016;38;540;0,730233423230726;107,437037037037;1526,73684210526;2612,77501309984;0,538459678958858;107744,372080333
"95";"TRF2_2º Grau_2014";2014;"TRF2";"TRF 2ª Região";"2º Grau";315357772,72;179074;120829;58245;27;743;0,674743402168936;78,3916554508748;2157,22222222222;5414,33209236844;0,537756242913193;108311,155412104
"96";"TRF2_total_2014";2014;"TRF2";"TRF 2ª Região";"total";1237065972,3;1531845;1052107;479738;246;4684;0,686823405762332;102,420580700256;1950,15447154472;2578,6282768928;0,595738021246764;805283,501959472
"97";"TRF3_MS_2014";2014;"TRF3";"TRF 3ª Região";"MS";90832834,31;96198;59125;16544;27;328;0,828021372585709;50,4390243902439;612,740740740741;5490,37924987911;0,282182643300075;58628,6945452098
"98";"TRF3_SP_2014";2014;"TRF3";"TRF 3ª Região";"SP";1163467876,82;2960124;2267479;690167;296;4147;0,766845240266962;166,425608873885;2331,64527027027;1685,77732174966;0,777002361188617;888243,11800574
"99";"TRF3_2º Grau_2014";2014;"TRF3";"TRF 3ª Região";"2º Grau";465481447,31;609141;442423;166718;43;1153;0,726306388832799;144,594969644406;3877,16279069767;2792,02873900839;0,815413062375277;204458,338592657
"100";"TRF3_total_2014";2014;"TRF3";"TRF 3ª Região";"total";1719782158,44;3735215;2861786;873429;366;6291;0,766163661261801;138,837863614688;2386,41803278689;1969,00052372889;0,758626011081556;1151330,15114361
"101";"TRF4_RS_2014";2014;"TRF4";"TRF 4ª Região";"RS";518740992;986102;607259;264634;153;1737;0,731636281033808;152,35118019574;1729,6339869281;1960,2205007671;0,711737260741535;371814,171600749
"102";"TRF4_PR_2014";2014;"TRF4";"TRF 4ª Região";"PR";425335232;688839;435238;171734;125;1493;0,750690654855489;115,02612190221;1373,872;2476,70951587921;0,560746862273603;306259,404294636
"103";"TRF4_SC_2014";2014;"TRF4";"TRF 4ª Região";"SC";307111354;524858;298459;148169;83;1046;0,717696977087136;141,652963671128;1785,1686746988;2072,70990558079;0,677456897816672;218713,5454337
